Categoria,DRE
4NET,Telefonia e Internet
Acordo Cliente,Prejuízo
Adiantamento,Salários
Adiantamento (Comercial),Salários Comercial
Adiantamento (Jurídico),Salários Jurídico
Advogado,Consultorias / Assessorias
Agendamento Audiência ,Audiência
Àgua,Patrimonial
algar,Telefonia e Internet
Aluguel,Alugueis
Aluguel das Máquinas,Materiais e Correios
Aluguel Toalhas Mesas,Materiais e Correios
B.Brasil,(-) Despesas Financeiras Banco
Benefícios,Benefícios
Benfeitorias que ficarão no imoveis ,CAPEX
Bradesco,(-) Despesas Financeiras Banco
Caixa,Caixa
Caixa do grupo,Transferência entre empresas
Caixa UOP ,Transferência entre empresas
Carros,Carros
Cartão de Crédito,Cartão Crédito
Chargeback,(-) Chargeback
Cliksing,Programas Administrativos
Combustível,Carros
Comercial,Marketing
Comissão,Comissões
Comissão (Comercial),Comissão Comercial
Comissão (Jurídico),Comissão Jurídico
Comissão (Líder),Comissão Líder
Comissões,Comissões
Compra de eletros,CAPEX
Compra de equipamentos para operação,CAPEX
Compra de móveis,CAPEX
Conciliação de Audiência,Audiência
Confraternização,Eventos
Consórcio,Consórcio
Consultorias ,Consultorias / Assessorias
Contabilidade,Consultorias / Assessorias
Convênio,Benefícios
Convênio Farmais ,Benefícios
Convênio Médico,Benefícios
Convênio Médico (Comercial),Benefícios Comercial
Convênio Médico (Jurídico),Benefícios Jurídico
Copa,Materiais e Correios
Correio,Materiais e Correios
DARF,Encargos
Decoração,Materiais e Correios
Devolução da empresa para o sócio,Devolução sócio
Devolução sócio,Devolução sócio
Digisac,Programas Administrativos
Discador,Telefonia e Internet
Discador Oncall,Telefonia e Internet
Elite ,Elite
Elite imóvel,Laudos
Embalagens M.M ,Materiais e Correios
Empréstimo,(-) Despesas Financeiras Banco
Empréstimo B. Brasil,(-) Despesas Financeiras Banco
Empréstimo Colaborador,Benefícios
Endomarketing,Benefícios
Enel (energia),Patrimonial
Entre empresas,Transferência entre empresas
Escritorio,Materiais e Correios
Exame médico,Consultorias / Assessorias
Farmacia,Benefícios
Férias,Férias
FGTS,Encargos
Filtros Soft,Materiais e Correios
Fornecedor,Consultorias / Assessorias
Funcionários Testes,Salários
Gestão mensalidade,Marketing
GPS,Encargos
Guia de Custas,Custo Processual
Help Desk,Consultorias / Assessorias
Indicação,Leads
Informática ,Materiais e Correios
INSS,Encargos
Internet,Telefonia e Internet
Internet (Vivo e Claro),Telefonia e Internet
IPTU,Patrimonial
King jobs,Programas Administrativos
Laudos,Laudos
Laudos terceiros,Laudos
Leads,Leads
Leads Recrutamento,Leads
Limpa nome,Laudos
M.M Embalagens ,Materiais e Correios
Manutenção ar condicionado,Patrimonial
Manutenção Predial,Patrimonial
Mão de Obra reforma,Patrimonial
Marketing,Marketing
Marketing interno,Marketing
Materiais,Materiais e Correios
Materiais escritório,Materiais e Correios
Material de Limpeza ,Materiais e Correios
Material Informática ,Materiais e Correios
Material Manutenção ,Patrimonial
Mediari,Mediari
Mercado ,Materiais e Correios
Ótica,Materiais e Correios
Outro fornecedor,Consultorias / Assessorias
Outros ,Consultorias / Assessorias
Outros Benefícios,Benefícios
Outros prejuízos,Prejuízo
Outros social mídia,Marketing
Outros tipos de materiais,Materiais e Correios
Palestra,Consultorias / Assessorias
Patrimonial,Patrimonial
Prejuizo,Prejuízo
Premiação,Premiação
Premiação (Comercial),Premiação Comercial
Premiação (Empresa),Premiação
Premiação (Jurídico),Premiação Jurídico
Premiação diária,Premiação
premiação mensal,Premiação
Premiação quinzenal,Premiação
Premiação semanal,Premiação
Processo Trabalhista,Prejuízo
Processual,Custo Processual
produto de limpeza,Materiais e Correios
Programas Administrativos,Programas Administrativos
Pró-labore UOP,Pró-labore UOP
Pró-labore,Pró-labore
Pró-labore Total,Pró-labore
Pronamp,(-) Despesas Financeiras Banco
Propaganda,Marketing
Recarga,Telefonia e Internet
Reclame Aqui,Programas Administrativos
Reforma,Patrimonial
Relógio de ponto,Programas Administrativos
Rescisão,Rescisão
Rescisão (Comercial),Rescisão (Comercial)
Rescisão (Jurídico),Rescisão (Jurídico)
SABESP,Patrimonial
Salários,Salários
Salários (Comercial),Salários Comercial
Salários (Jurídico),Salários Jurídico
segurança,Segurança
Seguro Protegido B. Brasil,Benefícios
Simples Nacional,(-) Simples Nacional
Solft,Materiais e Correios
Tarifas,(-) Despesas Financeiras Banco
Tarifas Bancárias ,(-) Despesas Financeiras Banco
Taxas,(-) Despesas Financeiras Banco
Tecno juris,Programas Administrativos
telefonia e internet,Telefonia e Internet
TFE,Encargos
TI,Telefonia e Internet
Transferência entre empresas,Transferência entre empresas
Transporte App (Uber/99/taxi),Materiais e Correios
Treinamento,Consultorias / Assessorias
UOP,Pró-labore UOP
Vale Alimentação,Benefícios
Vale Alimentação (Comercial),Benefícios Comercial
Vale Alimentação (Jurídico),Benefícios Jurídico
Vale Refeição,Benefícios
Vale Refeição (Comercial),Benefícios Comercial
Vale Refeição (Jurídico),Benefícios Jurídico
Vale Transporte,Benefícios
Vale Transporte (Comercial),Benefícios Comercial
Vale Transporte (Jurídico),Benefícios Jurídico
verisure,Segurança
