Categoria,DRE
Averbação,Jurídico
Abertura de Titulo,Jurídico
Acordo,Jurídico
Atualização de Laudo Pericial,Jurídico
Audiência,Audiência
Audiência / Certidão,Audiência
Audiência Conciliação,Audiência
Autenticação / Distribuição,Jurídico
Averbação de homologação,Jurídico
Busca e Apreensão,Jurídico
Cancelamento,Jurídico
Cancelamento Contrato,Jurídico
Certidão,Jurídico
Certidão + Laudo,Jurídico
Certidão de Averbação,Jurídico
Certidão de Confirmação,Jurídico
Certidão de demonstração de saldo,Jurídico
Certidão de Despacho,Jurídico
Certidão de Distribuição,Jurídico
Certidão de Objeto e Pé,Jurídico
Certidão de Prioridade,Jurídico
Certidão de Requerimento,Jurídico
Certidão Distribuição,Jurídico
Certidão Litispendência,Jurídico
Certidão Negativa,Jurídico
Certidão Prioridade,Jurídico
Citação,Jurídico
Comercial,Comercial
Concilition,Jurídico
Consignado,Comercial
Contestação,Jurídico
Contrato,Jurídico
Custas,Jurídico
Custas / Certidão de Averbação,Jurídico
Custas Cartorárias,Jurídico
Custas Processuais,Jurídico
Declaração de Prioridade,Jurídico
Defesa Busca e Apreensão,Jurídico
Defesa de carro apreendido,Jurídico
Despacho,Jurídico
Despacho de Urgência,Jurídico
Distrato,Jurídico
Empréstimo,Comercial
Entr.Laudo/Certidão,Jurídico
Entrada,Jurídico
Entrada Custas,Jurídico
Entrada Litspendencia,Jurídico
Financiamento,Comercial
Financiamento de Veiculo,Comercial
Financiamento Placa Solar,Comercial
Financiamento/Emprestimo,Comercial
Guia,Jurídico
Homologação,Jurídico
Homologação Acordo,Jurídico
Homologação de Quitação,Jurídico
Honorarios,Jurídico
Imobiliário,Imobiliário
Imovel/Emprestimo/Financiamento,Imobiliário
Imóvel,Imobiliário
Jonatas,Comercial
Jurídico,Jurídico
Laudo,Jurídico
Laudo e Certidão Pendência,Jurídico
Laudo / Imovel,Jurídico
Laudo + Cartão Liberação,Jurídico
Laudo de Litispendência,Jurídico
Laudo e Audiência,Jurídico
Laudo e Citação,Jurídico
Laudo e Parecer,Jurídico
Laudo e Titulo,Jurídico
Laudo Pericial,Jurídico
Laudo Simples,Jurídico
Laudo / Acordo,Jurídico
Laudo + Certidão,Jurídico
Laudo / Lispendencia,Jurídico
Laudo / Prestação de Serviço,Jurídico
Liminar Emergencial,Jurídico
Limpa Nome,Jurídico
Listipendência,Jurídico
Litspendencia e citação,Jurídico
Multa,Jurídico
Multa de Cancelamento,Jurídico
Oficio,Jurídico
Pagamento Total,Comercial
Parcela em juízo,Jurídico
Parecer Simples,Jurídico
Parecer Tecnico,Jurídico
Parecer Técnico / Certidão,Jurídico
Pendencia final,Jurídico
Pend.Certidão,Jurídico
Pend.F. Laudo/Cer,Jurídico
Pend.Laudo/Certidão,Jurídico
Pend.Quitação,Jurídico
Pendência,Jurídico
Pendência de Litspendencia,Jurídico
Pendência Despacho,Jurídico
Pendência Final,Jurídico
Pendência Homologação,Jurídico
Pendencia Laudo,Jurídico
Pendencia Quitação,Jurídico
Pendência Titulo,Jurídico
Placa solar,Comercial
Prestação de Serviço,Jurídico
Quebra contratual,Jurídico
Quitação,Jurídico
Reciclagem,Comercial
Reversão de Chargeback (comercial),Comercial
Reversão de Chargeback (Juridico),Jurídico
Revisional,Comercial
Revisional / Laudo,Comercial
Revisional / Emprestimo,Comercial
Revisional / Imovél,Comercial
Taxa de cancelamento,Jurídico
Título,Jurídico
Tutela de Antecipação,Jurídico
Titulo Ajuizado,Jurídico
Título de Abertura,Jurídico
Veículo,Comercial
